	Collection name	Owner	Size (GB)	Total	Compound Objects	BMP	DB	DOC	DOCM	DOCX	GIF	HTM	HTML	JP2	JPF	JPG	LNK	M4V	MHT	MOV	MP3	MP4	Null	PDF	PNG	RAM	RM	SID	TIF	TXT	URL	WAV	WMV	XLS	XLSX
HLM	Louisiana State Museum	Louisiana State Museum	0.05	100	2	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0
HNF	Hebert Nuremburg Files	LSU	0.1	467	36	0	0	0	0	0	7	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPL	Huey P. Long Collection	TAHIL	0.06	213	12	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
HWJ	Harper's Weekly Journal of Civilization and Frank Leslie's Illustrated Newspaper	SUBR	0.34	490	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IBE	Integration and the Black Experience at LSU	LSU	0.06	30	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	11	0	11	2	0	0	0	0	0	0	0	0
JAZ	Louisiana State Museum Jazz Collection	Louisiana State Museum	4.1	3501	0	0	0	0	0	0	0	0	0	2351	0	3	0	0	0	0	0	0	0	0	0	1147	0	0	0	0	0	0	0	0	0
JNT	John Norris Teunisson Photographs	Louisiana State Museum	0.05	467	0	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JSN	Jesuit scrapbooks from the New Orleans Province	Loyola	0.09	260	1	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lapur	Louisiana Purchase Bicentennial Collection	LSU	10.44	24553	885	0	0	0	0	0	0	0	0	12	0	23072	0	0	0	0	0	0	0	0	0	0	0	0	584	0	0	0	0	0	0
LCT	Louisiana State Museum Costumes and Textiles Collection	Louisiana State Museum	1.2	274	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LHC	Louisiana State Museum Historical Map Collection	Louisiana State Museum	0.3	180	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LHP	State Library of Louisiana Historic Photograph Collection	State Library 	2.83	10606	1	0	0	0	0	0	0	0	0	1873	0	8732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMNP01	Loyola University Maroon	Loyola	68.79	22059	2018	0	0	0	0	0	0	0	0	20041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMP	Maps of Louisiana Collection	LSU	0.07	56	1	0	0	0	0	0	0	0	0	35	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOH	Natchitoches Cane River Civil Rights Oral Histories - Louisiana State Museum	Louisiana State Museum	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0
LOU	LCOC - LOUIS Collection of Collections	N/A	0.01	204	0	0	0	0	0	0	0	0	0	2	0	192	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
LOU_RANDOM	LCOC Random image generator	N/A	0	98	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOYOLA_ETD	Loyola University New Orleans Electronic Theses	Loyola	0.91	195	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LPC	Louisiana Purchase and Louisiana Colonial History	TAHIL	0.14	337	42	0	0	0	0	0	0	0	0	2	0	282	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
LPH	Painting in Louisiana from the Historic New Orleans Collection	HNOC	12.68	1737	20	0	0	0	0	0	0	0	0	1547	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPS	Paintings from the Louisiana State Museum	Louisiana State Museum	9.92	715	0	0	0	0	0	0	0	0	0	713	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSA	Center for Louisiana Studies Archive	ULL	0.15	1237	0	0	0	0	0	0	0	0	0	0	0	1237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSAP	Louisiana State Aerial Photographs	LSU	1.19	4699	0	0	0	0	0	0	0	0	0	0	0	4699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSM_CCC	Louisiana State Museum Carnival Collection	Louisiana State Museum	16.81	668	0	0	0	0	0	0	0	0	0	667	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSM_FQA	Louisiana State Museum W.P.A. French Quarter Architectural Record	Louisiana State Museum	1.43	321	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSM_KOH	Louisiana State Museum Hurricane Katrina Oral History Project	Louisiana State Museum	0	41	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0
LSM_MPC	Louisiana State Museum Photography Collection	Louisiana State Museum	0.19	193	1	0	0	0	0	0	0	0	0	115	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
