Collection name	Owner	Size (GB)	Total	Compound Objects	BMP	DB	DOC	DOCM	DOCX	GIF	HTM	HTML	JP2	JPF	JPG	LNK	M4V	MHT	MOV	MP3	MP4	Null	PDF	PNG	RAM	RM	SID	TIF	TXT	URL	WAV	WMV	XLS	XLSX
Louisiana State Museum W.P.A. French Quarter Architectural Record	Louisiana State Museum	1.43	321	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana State Sovereignty Commission Pamphlets of the Civil Rights Era	McNeese	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana State University Agricultural Experiment Station Reports	LSU	6.9	807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	807	0	0	0	0	0	0	0	0	0	0	0
Louisiana Sugar Resources Digital Collection	LSU	12.85	2618	21	0	0	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	2030	0	0	0	0	0	0	0	0	0	0	0
Louisiana Works Progress Administration (WPA)	State Library 	2.44	10273	1445	0	0	0	0	0	0	0	0	27	0	8801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loyola University Maroon	Loyola	68.79	22059	2018	0	0	0	0	0	0	0	0	20041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loyola University New Orleans Athletics Collection	Loyola	13.5	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0
Loyola University New Orleans Community and Resilience Collection	Loyola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loyola University New Orleans Electronic Theses	Loyola	0.91	195	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Loyola University New Orleans Finding Aids	Loyola	0.04	102	34	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loyola University New Orleans Scrapbook Collection	Loyola	1.66	773	15	0	0	0	0	0	0	0	0	758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loyola University New Orleans Special Collections and Archives Online	Loyola	4.92	291	18	0	0	0	0	0	0	0	0	269	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Loyola University New Orleans University Photographs Collection	Loyola	3.49	6738	0	0	0	0	0	0	0	0	0	6724	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU Architectural Drawings by Theodore Link	LSU	0.04	163	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU Health Sciences Center New Orleans - Catalog and Bulletin	LSUHSCNO	2.5	128	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU Health Sciences Center New Orleans Newspaper Clippings Collection	LSUHSCNO	6.44	7749	228	0	0	0	0	0	0	0	0	3252	0	4266	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
LSU Health Sciences Center Shreveport Alumni Collection	LSUHSCS	0.72	73	1	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
LSU Health Sciences Center Shreveport Audiovisual Collection	LSUHSCS	0.05	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU Health Sciences Center Shreveport Newspaper Clippings	LSUHSCS	1.04	3421	1651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1770	0	0	0	0	0	0	0	0	0	0	0
LSU Health Sciences Center Shreveport Photograph Collection	LSUHSCS	0.14	853	0	0	0	0	0	0	0	0	0	39	0	814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU Libraries Exhibitions	LSU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU Libraries Louisiana and Lower Mississippi Valley Collections	LSU	0.58	347	19	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU Libraries Louisiana Waterways Management Collection	LSU	1.84	267	20	0	0	0	0	0	0	0	0	38	0	41	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0
LSU Libraries Mardi Gras Collection	LSU	1.52	431	24	0	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LSU Libraries Political Papers Collection	LSU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU Libraries Postcard Collections	LSU	2.65	1824	608	0	0	0	0	0	0	0	0	1030	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU Libraries' Rare Books Collection - Selected materials	LSU	0.28	537	2	0	0	0	0	0	0	0	0	224	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU Music Resources Sheet Music Collection	LSU	2.54	763	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	756	0	0	0	0	0	0	0	0	0	0	0
LSU School of Dentistry Historic Photographs	LSUHSCNO	0.01	82	6	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU Special Collections Online	LSU	0.2	100	14	0	0	0	0	0	0	0	0	57	0	3	0	0	0	0	0	0	0	14	0	11	0	0	1	0	0	0	0	0	0
LSU TEST	LSU	0.22	186	8	0	0	0	0	0	0	0	0	10	3	146	0	0	0	0	1	0	0	17	0	0	0	0	0	0	1	0	0	0	0
LSU University Archives Photographs Collection	LSU	25.23	1239	200	0	0	0	0	0	0	0	0	314	0	725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSU University Archives Print Materials Collection	LSU	0.17	218	11	0	0	0	0	0	0	0	0	35	0	171	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Lumières - A Publication of the Friends of the LSU Libraries	LSU	0.63	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0
M. O. Gershenzon Archive	Tulane	0.08	30	10	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maps from the Historic New Orleans Collection	HNOC	0.69	122	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maps of Louisiana Collection	LSU	0.07	56	1	0	0	0	0	0	0	0	0	35	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marcus Christian Collection	UNO	0.03	49	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marshall Dunham Photograph Album	LSU	0.58	600	200	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Martin-Pugh Family Papers	Nicholls	0	6	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mary McMurran and Conner Family	ULM	0.62	1416	99	0	0	0	0	0	0	0	0	1317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Matas Health Sciences Library Historic Photographs	Tulane	0.38	67	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
McNeese State University Electronic Theses	McNeese	0.37	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0
Medieval Manuscript Facsimiles Inventory	LSU	4.14	138	29	0	0	0	0	0	0	0	0	36	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Menus, restaurant brochures, and food advertising flyers from the Louisiana Re	Tulane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesoamerican Painted Manuscripts at the Latin American Library	Tulane	0.36	32	1	0	0	0	0	0	0	0	0	15	0	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
Mexican Incunabula (1559-1600) at the Latin American Library	Tulane	0.76	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
Millspaugh Photographs	Northwestern State University	0.02	168	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mingo Family African American Photographs, 1887-1955	LSU	0.08	32	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mississippi River Flood of 1927 Photograph Album	LSU	0.02	215	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mistick Krewe of Comus 1873 Missing Links Parade Costume Designs	Tulane	1.13	101	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mistick Krewe of Comus 1910 Float Designs	Tulane	0.15	20	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Natchez, MS	LSU	0.28	35	7	0	0	0	0	0	0	0	0	4	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Natchitoches Cane River Civil Rights Oral Histories - Louisiana State Museum	Louisiana State Museum	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0
Natchitoches Chamber of Commerce Collection	Northwestern State University	0.06	400	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LSU	0.96	238	1	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New Orleans Centennial Exposition Stereoscopic Views	LSU	0.44	195	65	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New Orleans Chamber of Commerce Photographs	Louisiana State Museum	0.07	982	0	0	0	0	0	0	0	0	0	0	0	982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New Orleans Image Collections at the LSU Libraries	LSU	0.08	61	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New Orleans Independent Music Digital Collection	Tulane	0.23	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New Orleans Negative Exposures and Prints, circa 1900-1930	LSU	0.01	65	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New Orleans Review Collection	Loyola	0.55	54	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Newcomb College Scrapbooks	Tulane	1.99	1706	9	0	0	0	0	0	0	0	0	1697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nicaraguan Presidential Papers	Tulane	0.12	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0
NOLA Hip Hop and Bounce Archive	Tulane	24.97	124	38	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0
Northeast Louisiana Historic Images Collection	ULM	1.83	363	8	0	0	0	0	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Northwest Louisiana Map Collection	LSUS	0.14	71	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OECS Test	Tulane	0.01	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ogden Museum of Southern Art	UNO	0.54	486	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0
Olide Schexnayder Collection	Louisiana State Museum	0.14	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0
Oral Histories of New Orleans Jazz	Tulane	0.01	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Orleans Parish School Board Meeting Minutes	UNO	16.31	7528	18	0	0	0	0	0	0	0	0	7510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orleans Parish School Board Meeting Minutes -- Indexes	UNO	0.12	117	3	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orleans Parish School Board Photographs	UNO	0.1	2416	0	0	0	0	0	0	0	0	0	2416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Painting in Louisiana from the Historic New Orleans Collection	HNOC	12.68	1737	20	0	0	0	0	0	0	0	0	1547	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paintings from the Louisiana State Museum	Louisiana State Museum	9.92	715	0	0	0	0	0	0	0	0	0	713	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Perine-Giles-Sartain Engravings, circa 19th century	LSU	0.02	76	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Print Culture of the Civil Rights Movement, 1950-1980	Tulane	0.31	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0
Ralston Crawford Collection of Jazz Photography	Tulane	6.05	786	0	0	0	0	0	0	0	0	0	786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reconstruction Through Progressivism Collection	TAHIL	0.01	18	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
Records of the French Superior Council (1714-1769)	Louisiana State Museum	20.66	723	131	0	0	0	0	0	0	0	0	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Records of the Spanish Cabildo (1769-1803)	Louisiana State Museum	0.18	251	11	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Registre Du Comite Medical De La Nouvelle Orleans, 1816-1854	Tulane	0.28	234	3	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rene Grandjean Collection - Seance Registers	UNO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Robert S.Maestri Photograph Collection	Louisiana State Museum	0.07	830	0	0	0	0	0	0	0	0	0	0	0	830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Robert Tebbs Photograph	Louisiana State Museum	0.04	345	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rowles Stereograph Collection	Louisiana State Museum	0.04	381	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sidonie de la Houssaye Collection	LSU	5.09	5279	75	0	0	0	0	0	0	0	0	0	0	5128	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0
Slavery, the Civil War, and Reconstruction	Tulane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sobre las Olas- Mexican Music from Nineteenth-Century New Orleans	LSU	0.21	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0
Social Framework - Photographs by Marion Palfi, 1945-1960	Tulane	0.33	246	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sounding Translation	Tulane	0.11	12	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sounds of Louisiana	Tulane	0.1	35	10	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Southwestern Louisiana Institute Photographs, 1923-1940	ULL	0.33	2524	0	0	0	0	0	0	0	0	0	0	0	2524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
State Library of Louisiana Historic Photograph Collection	State Library 	2.83	10606	1	0	0	0	0	0	0	0	0	1873	0	8732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
StoryCorps	UNO	19.48	3261	371	0	0	0	0	0	0	0	0	41	0	1700	0	0	0	0	390	0	0	758	0	0	0	0	0	0	0	1	0	0	0
Strand Theater Collection	LSUS	0.02	89	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T. Harry Williams Center for Oral History	LSU	0.02	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T. Harry Williams Center for Oral History Floods, Storms and Levee Breaks	LSU	0.08	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
T. Harry Williams Center for Oral History Four Corners of Louisiana Collection	LSU	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
T. Harry Williams Center for Oral History Military History Collection	LSU	0.07	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0
T. Harry Williams Center for Oral History Political Collection	LSU	0.77	17	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	10	0	0	0	0	0	0	0	0	0	0	0
T. Harry Williams Center for Oral History Presentations and Publications	LSU	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
T. Harry Williams Center for Oral History University History Collection	LSU	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Teaching American History Collection	TAHIL	0.01	51	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Telling-Grandon Scrapbook	UNO	0.55	156	1	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tensas River National Wildlife Refuge Ivory Billed Woodpecker Records	LSU	0.08	106	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Architect's Eye	Tulane	1.85	116	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
The Crescent City Pictorial	Tulane	0.09	36	1	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Daily Reveille - Louisiana State University	LSU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Southern Food and Beverage Museum Menus Collection	UNO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The STAR- Radiating the Light of Truth on Hansen's Disease	LSUHSCNO	5.94	661	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0
Thomas H. and Joan W. Gandy Photograph Collection	LSU	0.17	161	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tiger Rag – Student newspapers of LSU School of Medicine, New Orleans	LSUHSCNO	0.9	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	0	0	0	0	0	0	0	0	0	0	0
Tom Bell Papers, 1895-1999	LSUS	0.04	168	7	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tulane Library Speaker Series	Tulane	6.84	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Tulane University	Tulane	0.25	241	42	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Tulane University Band Historical Collection	Tulane	0.59	296	33	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tulane University Football Programs	Tulane	1.19	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0
Tulane University Theses and Dissertations Archive	Tulane	3	4952	1	0	0	0	0	0	0	0	0	42	0	1	0	0	0	0	0	0	4482	425	0	0	0	0	0	0	0	0	0	0	1
U.S. Army 64th General Hospital, organized by LSU Medical School	LSUHSCNO	0.85	1112	480	0	0	0	0	0	0	0	0	632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
United States House and Senate Committee Hearings and Publications	UNO	62.96	1569	1569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
University of New Orleans Anniversary	UNO	2.98	277	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0
University of New Orleans Senior Honors Theses	UNO	4.27	242	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
University of New Orleans Yearbook	UNO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNO Historical Archives of the Supreme Court of Louisiana	UNO	17.44	22846	1076	0	0	0	0	0	0	0	0	0	0	21770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNO Test Collection	UNO	0.17	91	1	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verla Birrell Textiles and Designs	SUBR	0	36	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veterans of Southeast Louisiana	Nicholls	3.11	369	1	0	0	0	0	0	0	0	0	202	0	63	0	99	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
William Barth Photographs of Mississippi and Atchafalaya River operations	LSU	0.78	249	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
William Branks Stewart Collection	LSUHSCNO	0	29	6	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
William J. Thornton Music Collection	LSU	0.5	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0
William Waller Survey Collection	LSU	0.67	214	30	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wiseman Photograph Collection	LSU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
World War I Maxillofacial Wounds Photo Album		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wright-Boyd Family Papers at LSU Libraries	LSU	0.01	20	2	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WTUL - a collection from Tulane University's independent radio station	Tulane	1.2	231	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	124	0	0	93	0	0	0	0	0	0	0	0	0	0	0
ZEEs TEST COLLECTION	N/A	0.13	57	7	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0
All collections		994.82	380287	18591	1	1	242	10	3	2175	1	69	212031	3	108903	1	99	587	166	1142	103	4483	26157	10	1411	2	804	754	10	2519	4	1	3	1
Total		994.82	380287	18591	1	1	242	10	3	2175	1	69	212031	3	108903	1	99	587	166	1142	103	4483	26157	10	1411	2	804	754	10	2519	4	1	3	1
